username,bintang,review
mawar1406,5,"Akhir nya nympeee...
Barang bagus ,,, cumaaa Pengiriman supeerr lamaaaaaaaa....
Smpai harus email expedisi nya..
Krna biasanya klw dri jakarta ke tangerang cuma 1-2hari ini smpe 6hari baruu smpe ..
Thks yaaa.."
w*****1,1,"powerbank cm bisa cas 1hp doang, pelayanan penjual buruk, pengiriman lama bangetttt. jasa kirimnya juga udah ditelp 2x suruh lbh cepet, cuma dijawab iyaiay doang ttp barang netep disitu."
azmifajrianii,5,Warna nya chakeppp bgt bgt bgtt. Bubble wrap nya cuma selapis tapi alhamdulillah barang aman. Udh aku cobain untuk ngecharg jg dan berfungsi dengan baik. Kira2 bisa 2x charg full. Robot mah ga perlu diragukan lagi😍🧡
s*****0,5,"Terimakasih, produk baik dan sesuai apa yg dipesan 😍😍😍"
a*****0,5,Slalu puas belanja dsni... Dan slalu langganan jg 🤗🤗🤗 semogaa next dpt bonus ya🤪wkwk
j*****b,5,"paket sudah sampaaaaaiiii, powerbank berfungsi dengan baik.
tengkiyu seller 🤍"
santyrafif,5,Sukaa dengaam produknyaa terimakasih next bakalan order lagi  ..
o*****j,5,"Warnanya purple cantik, dan barang datang sesuai pesanan. Pengiriman nya aja agak lama. Tapi barang dan pengemasan nya datang dengan sangat memuaskan"
virmallasari,5,"Udah ke 3 kali nya beli powerbank disini ,barang original harga murah dan super puas banget poko nya"
amexsiregar,5,"Rider Ducati, Francesco Bagnaia, sudah mengunci posisi runner-up di klasemen MotoGP 2021. Raihan angkanya sudah tak bisa dikejar oleh Joan Mir."
abifatah,5,"Sudah dites, produk bekerja dengan baik. Pengemasan bagus, pengiriman mantap."
aladdin25,5,"kecepatan pengiriman baik, respon penjual baik, penjual ramah, harga terbaik, kualitas pelayanan sangat baik, seller gerak cepat dalam pengiriman."
pirbul,5,"Thankk you puas bgt aaah makasii ow nyaa baik sekalii pliss aku mnta sblm tgl 7 dtg and akhrnyaaaa yeahh🤎🤎🤎🤎🤎🤎, sukses selaluu ya"
c*****c,5,Baru pertama kali beli Powerbank nya bagus baru ngecas satu kali dari 20% sampai full cuman berkurang 1 titik aja beda hp beda waktu pengisian nya
uyuzulad,5,"Bagus loh kak... warna ungu nya cantik n gak norak...
Semoga awet deh..."
sarahfaiqoh,5,"Udah langsung dipake dari hari pertama dateng, membantu banget sii"
m*****6,5,Mantap.................................. Semoga awet
p*****a,5,Jdjgdhkcb n mvkgsjydkhchm n mvjvjididkckbc m mkhckhxjgxkhckhclhkgdhkflhjgxhlckdiydkh jkhxjjgxhkchkckgxjgxtuxjgchkckhcyiciycihcoh
a*****2,5,Gak keburu foto power bank nya karena keburu di bawa pak suami ke tempat latihan tp overall bagus pengiriman cepat dan sesuai dengan deskripsi
h*****a,5,Paketnya sudah sampai. Bagus warna PB nya. Lagi diskon. Makasihhhhhhhgggvvv
